gene_id,gene_name
ENSG00000188089,PLA2G4E
ENSG00000159337,PLA2G4D
ENSG00000168907,PLA2G4F
ENSG00000069966,GNB5
ENSG00000129007,CALML4
ENSG00000103942,HOMER2
ENSG00000127588,GNG13
ENSG00000196557,CACNA1H
ENSG00000162104,ADCY9
ENSG00000183044,ABAT
ENSG00000183454,GRIN2A
ENSG00000166501,PRKCB
ENSG00000196296,ATP2A1
ENSG00000102882,MAPK3
ENSG00000156873,PHKG2
ENSG00000175938,ORAI3
ENSG00000140795,MYLK3
ENSG00000102893,PHKB
ENSG00000121281,ADCY7
ENSG00000087258,GNAO1
ENSG00000034713,GABARAPL2
ENSG00000197943,PLCG2
ENSG00000083454,P2RX5
ENSG00000108405,P2RX1
ENSG00000074370,ATP2A3
ENSG00000129219,PLD2
ENSG00000132535,DLG4
ENSG00000170296,GABARAP
ENSG00000170425,ADORA2B
ENSG00000007171,NOS2
ENSG00000141736,ERBB2
ENSG00000173805,HAP1
ENSG00000161714,PLCD3
ENSG00000073969,NSF
ENSG00000167083,GNGT2
ENSG00000006283,CACNA1G
ENSG00000154229,PRKCA
ENSG00000161509,GRIN2C
ENSG00000176170,SPHK1
ENSG00000170579,DLGAP1
ENSG00000141404,GNAL
ENSG00000171873,ADRA1D
ENSG00000182621,PLCB1
ENSG00000101333,PLCB4
ENSG00000101306,MYLK2
ENSG00000197122,SRC
ENSG00000101438,SLC32A1
ENSG00000124181,PLCG1
ENSG00000101470,TNNC2
ENSG00000124140,SLC12A5
ENSG00000087460,GNAS
ENSG00000101188,NTSR1
ENSG00000116032,GRIN3B
ENSG00000176533,GNG7
ENSG00000088256,GNA11
ENSG00000060558,GNA15
ENSG00000006638,TBXA2R
ENSG00000141837,CACNA1A
ENSG00000072062,PRKACA
ENSG00000160951,PTGER1
ENSG00000105143,SLC1A6
ENSG00000051128,HOMER3
ENSG00000196218,RYR1
ENSG00000086544,ITPKC
ENSG00000105737,GRIK5
ENSG00000160014,CALM3
ENSG00000167414,GNG8
ENSG00000118160,SLC8A2
ENSG00000105499,PLA2G4C
ENSG00000105464,GRIN2D
ENSG00000063176,SPHK2
ENSG00000130528,HRC
ENSG00000104888,SLC17A7
ENSG00000161681,SHANK1
ENSG00000126583,PRKCG
ENSG00000099957,P2RX6
ENSG00000100030,MAPK1
ENSG00000128271,ADORA2A
ENSG00000100077,GRK3
ENSG00000100346,CACNA1I
ENSG00000251322,SHANK3
ENSG00000171189,GRIK1
ENSG00000157542,KCNJ6
